Feature ID	Wild-type - WT3_S9 (GE) - Expression values	Wild-type - WT3_S9 (GE) - Unique gene reads	Wild-type - WT3_S9 (GE) - Total gene reads
SAOUHSC_01037	180	180	180
SAOUHSC_00303	3	3	3
SAOUHSC_00978	257	257	257
SAOUHSC_02313	6	6	6
SAOUHSC_02518	9	9	9
SAOUHSC_A02577	4	4	4
SAOUHSC_01295	15	15	15
SAOUHSC_02705	10	10	10
SAOUHSC_01290	86	86	86
SAOUHSC_01291	10	10	10
SAOUHSC_02732	4	4	4
SAOUHSC_T00016	1	0	1
SAOUHSC_00823	397	397	397
SAOUHSC_02515	1621	1621	1621
SAOUHSC_01930	46	46	46
SAOUHSC_02925	133	133	133
SAOUHSC_00069	1747201	1747201	1747201
SAOUHSC_02312	19445	19445	19445
SAOUHSC_01357	349	349	349
SAOUHSC_02771	355	355	355
SAOUHSC_01315	11	11	11
SAOUHSC_00244	529	529	529
SAOUHSC_A02450	99	99	99
SAOUHSC_02799	66	66	66
SAOUHSC_02832	33	33	33
SAOUHSC_01902	188	188	188
SAOUHSC_02109	10	10	10
SAOUHSC_02657	5	5	5
SAOUHSC_01704	148	148	148
SAOUHSC_02603	1214	1214	1214
SAOUHSC_01113	73	73	73
SAOUHSC_00853	50	50	50
SAOUHSC_01637	72	72	72
SAOUHSC_01421	17	17	17
SAOUHSC_01305	59	59	59
SAOUHSC_00253	9448	9448	9448
SAOUHSC_02311	30079	30079	30079
SAOUHSC_00599	208	208	208
SAOUHSC_01264	8551	8551	8551
SAOUHSC_02821	384	384	384
SAOUHSC_01628	566	566	566
SAOUHSC_00545	61678	60817	61678
SAOUHSC_00232	63758	63758	63758
SAOUHSC_01841	118	118	118
SAOUHSC_00087	2	2	2
SAOUHSC_00470	3	3	3
SAOUHSC_01230	29	29	29
SAOUHSC_02141	3	3	3
SAOUHSC_T00052	58	2	58
SAOUHSC_02566	6667	6667	6667
SAOUHSC_02338	1487	1487	1487
SAOUHSC_02310	10398	10398	10398
SAOUHSC_R0002	91	1	91
SAOUHSC_02856	59	59	59
SAOUHSC_02820	856	856	856
SAOUHSC_01297	243	243	243
SAOUHSC_00233	163476	163476	163476
SAOUHSC_1307a	51	51	51
SAOUHSC_00916	99	99	99
SAOUHSC_01331	4	4	4
SAOUHSC_00270	995	995	995
SAOUHSC_02701	165	165	165
SAOUHSC_01863	2368	2368	2368
SAOUHSC_01119	1678	1678	1678
SAOUHSC_00824	456	456	456
SAOUHSC_01131	1790	1790	1790
SAOUHSC_01293	19	19	19
SAOUHSC_02809	6097	6097	6097
SAOUHSC_02129	96	96	96
SAOUHSC_00718	652	652	652
SAOUHSC_00492	485	485	485
SAOUHSC_01024	5986	5986	5986
SAOUHSC_02455	121	121	121
SAOUHSC_02419	689	689	689
SAOUHSC_03002	389	389	389
SAOUHSC_01971	306	306	306
SAOUHSC_02432	11	11	11
SAOUHSC_00589	206	206	206
SAOUHSC_02452	284	284	284
SAOUHSC_00238	4	4	4
SAOUHSC_01123	722	722	722
SAOUHSC_02607	16986	16986	16986
SAOUHSC_00045	56	56	56
SAOUHSC_01101	160	160	160
SAOUHSC_02606	14767	14767	14767
SAOUHSC_03045	16421	16421	16421
SAOUHSC_00040	8	8	8
SAOUHSC_00826	7262	7262	7262
SAOUHSC_00070	6128	6128	6128
SAOUHSC_02453	278	278	278
SAOUHSC_T00020	8	0	8
SAOUHSC_01389	556	556	556
SAOUHSC_00251	1116	1116	1116
SAOUHSC_00972	1136	1136	1136
SAOUHSC_02393	1086	1086	1086
SAOUHSC_03003	42	42	42
SAOUHSC_00591	480	480	480
SAOUHSC_01956	386	386	386
SAOUHSC_00593	298	298	298
SAOUHSC_01334	1380	1380	1380
SAOUHSC_00446	11	11	11
SAOUHSC_02470	684	684	684
SAOUHSC_00852	10	10	10
SAOUHSC_03046	714	714	714
SAOUHSC_00747	2418	2418	2418
SAOUHSC_00255	334	334	334
SAOUHSC_00260	245	245	245
SAOUHSC_00973	15467	15467	15467
SAOUHSC_02572	1851	1851	1851
SAOUHSC_01950	70	70	70
SAOUHSC_02817	33	33	33
SAOUHSC_03000	52	52	52
SAOUHSC_00075	608	608	608
SAOUHSC_02320	5145	5145	5145
SAOUHSC_00271	1463	1463	1463
SAOUHSC_00144	106314	106314	106314
SAOUHSC_02588	17	17	17
SAOUHSC_02808	12183	12183	12183
SAOUHSC_01292	107	107	107
SAOUHSC_01090	7	7	7
SAOUHSC_01055a	1207	1207	1207
SAOUHSC_02886	46	46	46
SAOUHSC_01111	93	93	93
SAOUHSC_00841	1260	1260	1260
SAOUHSC_02914	8	8	8
SAOUHSC_00254	87	87	87
SAOUHSC_00915	83	83	83
SAOUHSC_01923	416	416	416
SAOUHSC_00145	11062	11062	11062
SAOUHSC_02314	47720	47720	47720
SAOUHSC_02990	26745	26745	26745
SAOUHSC_00076	920	920	920
SAOUHSC_00074	10142	10142	10142
SAOUHSC_00249	1351	1351	1351
SAOUHSC_A02331	129	129	129
SAOUHSC_01897	240	240	240
SAOUHSC_01353	495	495	495
SAOUHSC_02153	620	620	620
SAOUHSC_01957	1299	1299	1299
SAOUHSC_02618	8295	8295	8295
SAOUHSC_02858	109	109	109
SAOUHSC_00704	7540	7540	7540
SAOUHSC_00612	169	169	169
SAOUHSC_00674	2183	2183	2183
SAOUHSC_00775	1244	1244	1244
SAOUHSC_00257	14295	14295	14295
SAOUHSC_00203	319	319	319
SAOUHSC_02157	1419	1419	1419
SAOUHSC_00806	1378	1378	1378
SAOUHSC_01363	5529	5529	5529
