Feature ID	Single mutant - SM3_S6 (GE) - Expression values	Single mutant - SM3_S6 (GE) - Unique gene reads	Single mutant - SM3_S6 (GE) - Total gene reads
SAOUHSC_01037	4	4	4
SAOUHSC_00303	0	0	0
SAOUHSC_00978	23	23	23
SAOUHSC_02313	1	1	1
SAOUHSC_02518	1	1	1
SAOUHSC_A02577	0	0	0
SAOUHSC_01295	2	2	2
SAOUHSC_02705	3	3	3
SAOUHSC_01290	22	22	22
SAOUHSC_01291	2	2	2
SAOUHSC_02732	0	0	0
SAOUHSC_T00016	0	0	0
SAOUHSC_00823	88	88	88
SAOUHSC_02515	365	365	365
SAOUHSC_01930	6	6	6
SAOUHSC_02925	35	35	35
SAOUHSC_00069	512391	512391	512391
SAOUHSC_02312	12808	12808	12808
SAOUHSC_01357	81	81	81
SAOUHSC_02771	71	71	71
SAOUHSC_01315	5	5	5
SAOUHSC_00244	156	156	156
SAOUHSC_A02450	25	25	25
SAOUHSC_02799	8	8	8
SAOUHSC_02832	13	13	13
SAOUHSC_01902	45	45	45
SAOUHSC_02109	5	5	5
SAOUHSC_02657	1	1	1
SAOUHSC_01704	34	34	34
SAOUHSC_02603	404	404	404
SAOUHSC_01113	22	22	22
SAOUHSC_00853	19	19	19
SAOUHSC_01637	19	19	19
SAOUHSC_01421	3	3	3
SAOUHSC_01305	26	26	26
SAOUHSC_00253	6162	6162	6162
SAOUHSC_02311	23976	23976	23976
SAOUHSC_00599	59	59	59
SAOUHSC_01264	3307	3307	3307
SAOUHSC_02821	111	111	111
SAOUHSC_01628	146	146	146
SAOUHSC_00545	31479	31042	31479
SAOUHSC_00232	35170	35170	35170
SAOUHSC_01841	34	34	34
SAOUHSC_00087	1	1	1
SAOUHSC_00470	1	1	1
SAOUHSC_01230	17	17	17
SAOUHSC_02141	0	0	0
SAOUHSC_T00052	19	0	19
SAOUHSC_02566	2653	2653	2653
SAOUHSC_02338	457	457	457
SAOUHSC_02310	8677	8677	8677
SAOUHSC_R0002	50	0	50
SAOUHSC_02856	14	14	14
SAOUHSC_02820	384	384	384
SAOUHSC_01297	96	96	96
SAOUHSC_00233	120640	120640	120640
SAOUHSC_1307a	27	27	27
SAOUHSC_00916	35	35	35
SAOUHSC_01331	3	3	3
SAOUHSC_00270	352	352	352
SAOUHSC_02701	105	105	105
SAOUHSC_01863	704	704	704
SAOUHSC_01119	968	968	968
SAOUHSC_00824	156	156	156
SAOUHSC_01131	822	822	822
SAOUHSC_01293	8	8	8
SAOUHSC_02809	8655	8655	8655
SAOUHSC_02129	22	22	22
SAOUHSC_00718	221	221	221
SAOUHSC_00492	148	148	148
SAOUHSC_01024	2854	2854	2854
SAOUHSC_02455	29	29	29
SAOUHSC_02419	262	262	262
SAOUHSC_03002	174	174	174
SAOUHSC_01971	102	102	102
SAOUHSC_02432	7	7	7
SAOUHSC_00589	76	76	76
SAOUHSC_02452	99	99	99
SAOUHSC_00238	1	1	1
SAOUHSC_01123	312	312	312
SAOUHSC_02607	11279	11279	11279
SAOUHSC_00045	29	29	29
SAOUHSC_01101	60	60	60
SAOUHSC_02606	10109	10109	10109
SAOUHSC_03045	8635	8635	8635
SAOUHSC_00040	2	2	2
SAOUHSC_00826	3334	3334	3334
SAOUHSC_00070	1882	1882	1882
SAOUHSC_02453	72	72	72
SAOUHSC_T00020	4	0	4
SAOUHSC_01389	283	283	283
SAOUHSC_00251	913	913	913
SAOUHSC_00972	414	414	414
SAOUHSC_02393	470	470	470
SAOUHSC_03003	21	21	21
SAOUHSC_00591	233	233	233
SAOUHSC_01956	178	178	178
SAOUHSC_00593	122	122	122
SAOUHSC_01334	195	195	195
SAOUHSC_00446	7	7	7
SAOUHSC_02470	270	270	270
SAOUHSC_00852	1	1	1
SAOUHSC_03046	450	450	450
SAOUHSC_00747	1042	1042	1042
SAOUHSC_00255	216	216	216
SAOUHSC_00260	165	165	165
SAOUHSC_00973	5387	5387	5387
SAOUHSC_02572	1244	1244	1244
SAOUHSC_01950	23	23	23
SAOUHSC_02817	3	3	3
SAOUHSC_03000	22	22	22
SAOUHSC_00075	251	251	251
SAOUHSC_02320	2726	2726	2726
SAOUHSC_00271	637	637	637
SAOUHSC_00144	108553	108553	108553
SAOUHSC_02588	4	4	4
SAOUHSC_02808	18230	18230	18230
SAOUHSC_01292	65	65	65
SAOUHSC_01090	6	6	6
SAOUHSC_01055a	637	637	637
SAOUHSC_02886	39	39	39
SAOUHSC_01111	40	40	40
SAOUHSC_00841	666	666	666
SAOUHSC_02914	4	4	4
SAOUHSC_00254	51	51	51
SAOUHSC_00915	41	41	41
SAOUHSC_01923	214	214	214
SAOUHSC_00145	10223	10223	10223
SAOUHSC_02314	36988	36988	36988
SAOUHSC_02990	28405	28405	28405
SAOUHSC_00076	425	425	425
SAOUHSC_00074	4861	4861	4861
SAOUHSC_00249	939	939	939
SAOUHSC_A02331	59	59	59
SAOUHSC_01897	120	120	120
SAOUHSC_01353	203	203	203
SAOUHSC_02153	268	268	268
SAOUHSC_01957	610	610	610
SAOUHSC_02618	5716	5716	5716
SAOUHSC_02858	40	40	40
SAOUHSC_00704	6650	6650	6650
SAOUHSC_00612	136	136	136
SAOUHSC_00674	1363	1363	1363
SAOUHSC_00775	817	817	817
SAOUHSC_00257	13529	13529	13529
SAOUHSC_00203	193	193	193
SAOUHSC_02157	469	469	469
SAOUHSC_00806	1147	1147	1147
